extract,crid
1996,C229408
1996,C229410
1996,C229411
1996,C229412
1996,C229415
1996,C229417
1996,C229418
1996,C229419
1996,C229428
1996,C229429
1996,C229430
1996,C229431
1996,C229432
1996,C229435
1996,C229436
1996,C229437
1996,C229438
1996,C229439
1996,C229442
1996,C229443
1996,C229444
1994,C229445
1995,C229447
1994,C229448
1996,C229449
1996,C229450
1996,C229451
1996,C229454
1996,C229455
1996,C229456
1996,C229461
1996,C229462
1996,C229464
1996,C229465
1996,C229467
1996,C229470
1996,C229471
1996,C229474
1996,C229475
1996,C229476
1996,C229477
1996,C229480
1996,C229481
1996,C229483
1996,C229484
1996,C229486
1996,C229487
1996,C229488
1996,C229490
1996,C229493
1996,C229494
1996,C229497
1996,C229498
1996,C229499
1996,C229501
1996,C229502
1996,C229504
1996,C229505
1996,C229506
1996,C229507
1996,C229508
1996,C229509
1996,C229511
1996,C229512
1996,C229515
1996,C229516
1996,C229517
1996,C229519
1996,C229520
1996,C229521
1996,C229523
1996,C229525
1996,C229526
1996,C229529
1996,C229531
1996,C229532
1996,C229533
1996,C229535
1996,C229536
1996,C229537
1996,C229538
1996,C229540
1996,C229541
1996,C229542
1996,C229544
1996,C229546
1996,C229547
1996,C229549
1996,C229550
1996,C229551
1996,C229552
1996,C229553
1996,C229554
1996,C229556
1995,C229558
1996,C229559
1996,C229560
1996,C229561
1996,C229562
1996,C229563
1996,C229564
1996,C229565
1996,C229567
1996,C229570
1996,C229571
1996,C229572
1996,C229573
1996,C229574
1996,C229575
1996,C229577
1996,C229578
1996,C229579
1996,C229580
1996,C229581
1996,C229582
1996,C229583
1996,C229585
1996,C229586
1996,C229588
1998,C246913
1996,C229589
1996,C229596
1996,C229597
1996,C229598
1996,C229600
1996,C229601
1996,C229602
1996,C229604
1996,C229605
1996,C229606
1996,C229607
1996,C229610
1996,C229611
1996,C229613
1996,C229614
1996,C229615
1996,C229616
1996,C229617
1996,C229621
1996,C229623
1996,C229624
1999,C254393
1996,C229625
1996,C229626
1996,C229628
1996,C229630
1996,C229631
1996,C229632
1996,C229633
1996,C229635
1996,C229636
1996,C229637
1996,C229639
2008,1017300
1996,C229640
1996,C229641
1996,C229642
1996,C229643
1996,C229644
1996,C229645
1996,C229646
1996,C229647
1996,C229648
1996,C229650
1996,C229651
1996,C229652
1996,C229653
1996,C229654
1996,C229656
1996,C229657
1996,C229660
1996,C229661
1996,C229662
1996,C229663
1996,C229664
1996,C229665
1996,C229666
1996,C229667
1996,C229668
1996,C229669
1996,C229671
1996,C229673
1996,C229675
1995,C229677
1996,C229679
1996,C229680
1996,C229681
1996,C229682
1996,C229687
1996,C229828
1996,C229689
1996,C229690
1996,C229691
1996,C229692
1996,C229693
1996,C229694
1996,C229695
1996,C229696
1996,C229697
1996,C229699
1996,C229700
1996,C229701
1996,C229703
1996,C229705
1996,C229706
1996,C229707
1996,C229708
1996,C229711
1996,C229712
1996,C229713
1996,C229715
1996,C229716
1996,C229718
1996,C229720
1996,C229721
2008,1017394
1996,C229722
1996,C229723
1996,C229725
1996,C229728
1996,C229729
1996,C229730
1996,C229731
1996,C229733
1996,C229735
1996,C229737
1996,C229738
1996,C229740
1996,C229741
1996,C229742
1996,C229743
1996,C229744
