id,civilian_allegation_percentile,honorable_mention_percentile,internal_allegation_percentile,trr_percentile,allegation_count,sustained_count,civilian_compliment_count,race,gender
1653,,0.0000,,,0,0,0,White,M
5191,,0.0000,,,0,0,0,White,M
26893,,,,,0,0,0,Black,M
27025,,0.0000,,,0,0,0,White,M
11922,,,,,0,0,0,White,M
32535,,,,,0,0,0,Unknown,F
23561,,,,,0,0,0,Hispanic,M
6918,,,,,0,0,0,White,M
10888,,0.0000,,,0,0,0,White,M
26911,,0.0000,,,0,0,0,White,F
6528,,0.0000,,,0,0,0,White,M
18789,,0.0000,,,0,0,0,White,M
21901,,0.0000,,,0,0,0,Black,M
22654,,0.0000,,,0,0,0,White,M
6244,,0.0000,,,0,0,0,White,M
23023,,0.0000,,,0,0,0,White,M
26977,,0.0000,,,0,0,0,White,M
33718,,,,,0,0,0,White,M
33811,,,,,0,0,0,White,M
24650,,0.0000,,,0,0,0,White,M
18466,,,,,0,0,0,Black,M
10065,,0.0000,,,0,0,0,Black,M
19234,,0.0000,,,0,0,0,White,M
23852,,0.0000,,,0,0,0,Black,M
29724,,0.0000,,,0,0,0,White,M
15493,,0.0000,,,0,0,0,White,M
13819,,0.0000,,,0,0,0,White,M
29291,,0.0000,,,0,0,0,White,M
31546,,0.0000,,,0,0,0,White,M
32745,,,,,0,0,0,Unknown,M
21289,,0.0000,,,0,0,0,White,M
32707,,,,,0,0,0,Unknown,M
32755,,,,,0,0,0,Unknown,F
32801,,,,,0,0,0,Unknown,F
32812,,,,,0,0,0,Unknown,M
32522,0.0000,0.0000,0.0000,0.0000,0,0,0,Black,M
32871,,,,,0,0,0,Unknown,M
32900,,,,,0,0,0,Hispanic,M
32911,,,,,0,0,0,White,M
33018,,,,,0,0,0,Unknown,F
33027,,,,,0,0,0,Unknown,F
33029,,,,,0,0,0,Unknown,F
33035,,,,,0,0,0,Unknown,M
33059,0.0000,0.0000,0.0000,0.0000,0,0,0,Unknown,""
32539,,,,,0,0,0,Unknown,M
32540,,,,,0,0,0,Unknown,M
32541,,,,,0,0,0,Unknown,M
32542,,,,,0,0,0,Unknown,M
32543,,,,,0,0,0,Unknown,M
32544,,,,,0,0,0,Unknown,M
32545,,,,,0,0,0,Unknown,M
32547,,,,,0,0,0,Unknown,F
32548,,,,,0,0,0,Unknown,F
32550,,,,,0,0,0,Unknown,M
32551,,,,,0,0,0,Unknown,M
32552,,,,,0,0,0,Unknown,M
32553,,,,,0,0,0,Unknown,M
32556,,,,,0,0,0,Unknown,M
32557,,,,,0,0,0,Unknown,M
32558,,,,,0,0,0,Unknown,F
32559,,,,,0,0,0,Unknown,M
32561,,,,,0,0,0,Unknown,M
32562,,,,,0,0,0,Unknown,M
32563,,,,,0,0,0,Unknown,M
32564,,,,,0,0,0,Unknown,M
32565,,,,,0,0,0,Unknown,M
32566,,,,,0,0,0,Unknown,M
32567,,,,,0,0,0,Unknown,F
