allegation_id,gender,race
1063889,M,Black
1062985,F,Black
1062474,M,Hispanic
1061897,M,Hispanic
1061925,F,Black
1063157,F,Black
1063895,M,Black
1063894,F,Black
1063897,M,Black
1063896,F,Hispanic
1063892,F,Black
1063898,F,Hispanic
1063891,M,Black
1063899,M,Asian/Pacific Islander
1063916,M,Hispanic
1063915,M,Black
1057676,M,Black
1063990,F,Black
1059829,M,Black
1064009,F,Black
1064008,M,Hispanic
1064009,F,Black
1064011,M,White
1064009,F,Black
1064009,M,Black
1064008,M,Hispanic
1063996,M,White
1063997,M,Hispanic
1064003,M,Black
1064000,M,White
1064002,F,Black
1064001,M,White
1063999,M,Black
1063998,M,Black
1064005,M,Black
1064004,M,Black
1064007,M,Black
1064020,M,Hispanic
1064023,M,White
1048978,M,Hispanic
1048978,F,Hispanic
1048978,M,Hispanic
1063120,F,White
1063318,F,Black
1063313,M,White
1063321,M,White
1063319,M,White
1063323,M,Hispanic
1063320,M,Black
1063315,M,Black
1063322,M,Black
1063314,M,Black
1063316,M,Black
1063317,M,Hispanic
1063309,M,Black
1063305,F,Hispanic
1063291,F,Hispanic
1063224,M,Black
1063232,M,Black
1063231,M,Black
1063231,F,Black
1063228,"",""
1063234,F,Native American/Alaskan Native
1063235,F,Black
1063233,F,Black
1063241,F,Black
1063239,F,Black
1063237,M,White
1063236,F,Hispanic
1063236,F,Hispanic
1063238,F,Black
1063240,F,Black
1062721,M,Hispanic
1060147,M,White
1061792,M,White
1062207,M,White
1063810,F,Hispanic
1063803,M,Black
1062635,F,Black
1063813,M,Black
1062590,M,Black
1063804,F,Black
1063913,M,Black
1063908,"",""
1063905,M,Black
1063286,M,White
1063910,M,White
1050140,"",""
1063902,M,Hispanic
1063903,F,Black
1063907,F,Black
1063904,M,Black
1063084,M,Black
1063913,F,Black
1063913,M,Black
1063901,M,Black
1063913,M,Black
1062474,"",""
1063913,M,Black
1049132,M,Black
1047578,F,Black
1047578,F,Black
1047578,M,Black
1050684,M,Black
1055410,F,Black
1055410,M,Black
1064022,M,Black
1064021,M,White
1064019,M,Black
1064016,F,Black
1064017,M,White
1064015,M,Hispanic
1064013,M,""
1064014,M,Black
1064010,M,""
1064012,M,Hispanic
1045801,F,Black
1063433,F,Black
1063249,M,Black
1056517,M,Hispanic
1061715,F,Asian/Pacific Islander
1061554,M,Black
1061715,M,Black
1062409,M,White
1062497,M,Black
1064057,M,Black
1063310,M,White
1063307,F,Black
1063306,F,White
1063324,F,White
1063325,M,White
1063311,M,Black
1063312,M,White
1063305,M,Hispanic
1063308,F,Black
1063298,M,Black
1063273,F,White
1062918,F,Black
1062918,M,Black
1060926,M,Black
1063399,F,Black
1063403,F,Black
1063388,M,White
1063388,M,""
1063398,M,Black
1037041,M,Black
1049337,M,Black
1055412,M,Black
1063637,M,""
1062559,F,White
1063638,M,Black
1063635,F,Black
1063644,M,Black
1063636,M,Hispanic
1063613,M,White
1063614,F,White
1063615,F,Black
1063619,F,""
1063611,F,Black
1063616,M,Black
1062769,"",""
1062818,F,White
1063211,F,Black
1063210,F,White
1063209,F,White
1049943,M,Black
1050571,F,Black
1046073,M,Hispanic
1046073,M,White
1050571,M,Black
1050324,M,Black
1050912,F,Black
1050912,F,Black
1050912,M,Black
1050912,F,Black
1050402,M,Black
1060990,M,Black
1063379,F,Black
1063098,F,White
1063098,M,White
1062205,M,""
1063736,F,Black
1062205,F,""
1063736,M,Black
1062199,F,Black
1063733,M,Hispanic
1062097,M,Black
1063736,M,Black
1063744,F,Black
1063743,F,""
1063742,F,Black
1063741,M,Black
1063739,F,Black
1063740,F,""
1063741,M,Black
1063738,M,Hispanic
1062199,F,Black
1063734,M,Black
1063731,M,Black
1063653,M,Black
1063721,F,""
1063727,M,Black
1063729,M,Black
1063728,F,Black
1063724,M,White
1063720,M,Black
1063328,F,""
1063329,F,Black
1063302,M,Black
1063302,M,Black
1063326,M,Black
1063327,F,White
1063303,M,Black
1063330,M,Black
1063327,M,White
1063304,M,White
1063336,M,White
1063338,F,Black
1063337,F,Black
1063335,M,White
1063332,M,Black
1063331,M,White
1063333,M,Black
1063334,M,White
1063391,F,""
1063396,M,Black
1063401,F,Black
1063394,F,Black
1062813,M,Black
1063610,M,Black
1063613,M,White
1063618,F,White
1063612,M,Asian/Pacific Islander
1063617,M,Black
1063622,M,""
1063621,F,Black
1063620,M,Black
1063628,F,Black
1063608,F,Black
1062758,M,Hispanic
1063627,M,Black
1063632,F,Black
1063629,F,Black
1063623,M,Black
1063630,M,White
1063626,M,Black
1063626,M,Black
1063624,M,Black
1063629,M,Black
1063575,M,Black
1063631,M,Black
1063625,M,Asian/Pacific Islander
1063634,M,Black
1063636,M,Hispanic
1063640,"",""
1059397,F,Black
1053778,M,Black
1063470,F,White
1063464,F,Black
1063476,M,Black
1063459,F,White
1063478,M,Black
1063480,M,White
1063457,M,White
1063477,M,Black
1063251,M,Hispanic
1062617,M,Black
1062704,M,Black
1062738,F,Black
1062734,M,Black
1062738,F,Black
1062704,M,Black
1062676,M,Black
1062738,M,Black
1063725,F,Hispanic
1063726,M,White
1063723,F,Black
1063719,M,Black
1063722,F,Black
1062979,F,Black
1058908,M,Black
1061968,M,Black
1061917,M,White
1046172,M,Black
1046172,M,Black
1047737,M,Black
1055842,M,Black
1045673,F,Black
1053630,F,Black
1063264,"",""
1063243,M,White
1063250,M,Hispanic
1063252,M,Black
1063248,M,Black
1063213,M,Black
1063244,M,Black
1063247,F,Black
1063242,M,Black
1063251,M,Hispanic
1063249,M,Black
1063245,M,Black
1063246,F,White
1063254,F,Black
1063263,M,White
1063260,F,Black
1063262,M,Black
1063261,F,Black
1063256,M,Hispanic
1063257,F,Hispanic
1063230,F,Black
1059925,F,Hispanic
1061860,M,White
1061855,M,Black
1062357,F,Black
1062002,F,Black
1063813,F,Black
1063814,F,White
1062624,F,Black
1063816,M,White
1063810,M,White
1063805,M,Black
1063801,M,Hispanic
1063812,M,Black
1063811,M,Black
1063802,M,Black
1063820,M,Black
1063812,M,Black
1063812,M,Black
1063821,F,Black
1063819,F,Black
1063812,M,Black
1063817,M,Black
1053524,M,Black
1053524,M,Black
1063433,F,Black
1063439,M,Black
1063438,F,Black
1063436,F,Black
1063434,F,White
1063435,M,Black
1063437,M,""
1063430,M,Black
1063454,M,Black
1063455,M,White
1063453,F,""
1054071,M,""
1052092,M,Black
1063783,F,Black
1063779,M,Black
1063782,M,Hispanic
1063784,F,Black
1063782,M,Hispanic
1063776,M,Black
1063780,M,Black
1063778,F,Black
1063781,M,White
1063785,M,Black
1063777,M,Black
1062487,M,Black
1062487,F,Black
1062495,M,White
1063775,F,Black
1063745,M,Hispanic
1062978,"",""
1063788,M,Black
1063255,M,""
1063259,M,White
1062502,M,Black
1062557,M,White
1056103,M,White
1062817,F,Black
1062825,M,Black
1062795,M,Black
1051105,M,Hispanic
1062604,F,Black
1061703,M,Black
1063270,M,White
1063271,M,Black
1063266,M,Black
1063267,M,Black
1062332,M,Black
1063268,M,Black
1063274,M,White
1063265,M,Black
1063341,M,Black
1063343,F,Hispanic
1063339,F,White
1063344,F,Black
1063342,M,Black
1063340,M,Black
1063345,M,Black
1063347,F,Black
1063351,M,Black
1063348,F,Hispanic
1063346,F,Black
1063349,M,Black
1063350,F,Black
1063350,F,Black
1062319,F,Hispanic
1063818,M,Black
1060060,M,Black
1062996,F,White
1062996,M,White
1062835,F,Black
1063005,M,Black
