allegation_id,officer_id
C140715,24886
C140715,23733
C140804,4068
C140804,199
C140826,30231
C140827,7094
C140827,14838
C140830,17516
C140876,2693
C140876,14971
C140877,22970
C140877,3224
C140877,4705
C140877,28918
C140877,5561
C140877,3719
C140893,7000
C140908,25394
C140921,14332
1081433,18518
C140921,22550
C140921,19599
C140985,1012
C141060,16914
C141060,13581
C141061,16869
C141061,22205
C141061,21005
C141061,10857
C141070,15207
C141080,23650
C141103,5463
C141103,15566
C141103,9654
C141128,16394
C141135,30535
C141136,16784
C141137,16137
C141138,26458
C141139,1088
C141140,11530
C141142,31776
C141143,28545
C141144,16188
C141151,6735
C141230,11460
C141263,29611
C141263,13467
C141303,6563
C141303,27392
C141356,20991
C141356,3840
C141357,7258
C141403,22062
C141464,617
C141464,21557
C141468,2326
C141468,4774
C141468,2521
C141468,8486
C141468,2595
C141468,10832
C141487,17311
C141509,24016
C141510,23743
C141593,15454
C141594,1355
C141594,22193
C141654,11731
C141685,471
C141724,2922
C141724,3401
C141748,23434
C141753,22849
C141779,18953
C141779,8212
C141779,22808
C141779,8823
C141779,10021
C141779,24043
C141779,29954
C141779,24317
C141779,4611
C141779,10986
C141785,28666
C141785,9352
C141795,18757
C141800,10684
C141800,30361
C141800,11948
C141800,4012
C141891,6518
C141927,3189
C141928,11866
C142026,20559
C142067,5424
C142069,17327
C142069,3551
C142086,23330
C142121,10110
C142121,8963
C142137,28369
C142143,13795
C142173,13549
C142173,18006
C142173,8460
C142173,21421
C142173,16960
C142173,29585
C142201,16602
C142201,2258
C142223,3087
C142226,15099
C142226,25583
C142280,13740
C142280,30682
C142301,11618
C142313,7750
C142313,22591
C142313,21271
C142313,23295
C142313,1546
C142313,3893
C142313,3964
C142313,15495
C142313,14771
C142313,21035
C142318,532
C142318,23733
C142318,19716
C142318,21272
C142349,15019
C142349,12848
C142349,7399
C142367,10723
C142369,6260
C142378,16041
C142378,232
C142378,30396
C142378,26047
C142395,2993
C142484,24023
C142484,21707
C142484,1167
C142484,6643
C142497,21307
C142568,26006
C142568,8986
C142595,22978
C142607,663
C142614,30396
C142614,26047
C142615,17204
C142615,17374
C142615,30344
C142665,30626
C142665,17228
C142665,21836
C142667,20194
C142667,15509
C142668,16610
C142668,25532
C142668,24925
C142734,27742
C142734,15178
C142734,21128
C142734,30245
C142734,23646
C142734,855
C142736,2468
C142736,17204
C142736,27192
C142737,790
C142746,17774
C142750,7289
C142782,199
C142832,825
C142854,14658
C142854,565
C142867,9265
C142917,28844
C142938,19584
C142938,1980
C142938,8648
C142938,28387
C142938,12493
C142938,19667
C142958,7816
C143076,18899
C143076,1474
C143078,10013
C143102,2828
C143103,3049
C143107,27815
C143107,16295
C143112,732
C143112,19339
C143129,24514
C143129,5905
C143130,5727
C143133,6480
C143133,5754
C143133,8182
C143136,27191
C143136,10723
C143136,2253
C143156,30551
C143161,20485
C143161,25126
C143197,6958
C143197,18439
C143209,19144
C143209,15038
C143225,28898
C143225,14894
C143244,26569
C143244,20682
C143288,2451
C143289,2711
C143289,3331
C143289,3359
C143312,3756
C143323,22812
C143323,26716
C143355,17624
C143355,18276
C143355,471
C143355,22568
C143369,28646
C143369,19925
C143389,18777
C143393,9563
C143440,938
C143440,9204
C143450,3903
C143450,25753
C143450,24925
C143450,3471
1081597,26802
C143450,27395
C143463,20175
C143463,2095
C143481,16144
C143481,31695
C143482,20048
C143505,2754
C143505,25606
C143515,8750
C143543,31100
C143547,28659
C143547,20713
C143552,14594
C143552,9973
C143552,21648
C143552,9658
C143552,4587
C143608,16882
C143685,5747
C143688,13795
C143689,21307
C143690,2941
C143691,1133
C143723,14788
C143733,26788
C143739,24698
C143763,27039
C143765,7065
C143765,27627
C143765,12070
C143810,5487
C143810,17665
C143811,22152
C143811,8571
C143811,5196
C143811,5858
C143811,28054
C143811,25778
C143824,8527
C143824,31722
C143824,17143
C143824,29925
C143931,3307
C143931,9769
C143948,18419
C143978,14750
C143984,17376
C143984,28709
C143984,19539
C143984,14957
C143984,13590
C143984,11394
C143998,18313
C144009,23058
C144024,6344
C144036,22000
C144074,12886
C144157,26946
1081458,17613
C144157,25836
C144157,31579
C144157,25905
C144157,11143
C144169,27589
C144189,6065
C144199,2473
C144199,31603
C144199,3672
C144332,6969
C144332,20639
C144333,26349
C144333,29869
C144334,13466
C144336,15033
C144338,30664
C144362,6287
C144415,10671
C144429,18328
C144429,22892
C144538,199
C144620,199
C144641,199
C144693,19059
C144706,711
C144706,24967
C144730,5157
C144730,25767
C144730,14323
C144758,9495
C144758,17451
C144758,16677
C144759,6203
C144759,1112
C144760,22376
C144760,16241
C144760,28826
C144760,28587
C144773,2340
C144776,829
C144776,2240
C144803,5698
C144803,18157
C144803,13482
C144814,3315
C144814,14937
C144815,24240
C144826,27105
C144844,15614
C144844,28649
C144844,19615
C144863,23278
C144867,167
C144867,15037
C144867,6888
C144867,31728
C144891,29677
C144891,29860
C144930,28709
C144930,22808
C144930,10516
C144930,7090
C144930,16366
C144949,3400
C144949,22761
C144976,471
C144976,17964
C144976,7455
C144992,31530
C144993,21128
C144993,855
C145013,4068
C145072,15317
C145072,23844
C145072,10940
C145074,28957
C145247,10029
C145288,5340
C145295,20924
C145323,20801
C145334,7897
C145409,29668
C145409,17707
C145409,10194
C145409,24016
C145426,25094
C145527,26006
C145710,29999
C145710,16099
C145710,8339
C145711,659
C145711,11199
C145799,10510
C145832,20515
C145833,22361
C145897,15877
C145917,2385
C145917,22910
C145934,23994
C145934,756
C145934,20303
C145934,23515
C145934,25059
C145934,10603
C145948,25828
C146011,28787
C146027,2454
C146030,21344
C146030,26368
C146063,8309
C146123,31487
C146162,13627
C146272,18445
C146272,23698
C146273,26782
C146273,3833
C146292,2473
C146405,27445
C146405,16971
C146508,7992
C146534,14938
C146550,25083
C146550,7074
C146550,15693
C146550,22501
C146682,21835
C146709,4140
C146728,27855
C146728,9354
C146728,27998
C146728,18247
C146728,10772
C146728,24991
C146728,8753
C146735,29762
C146735,25474
C146799,10184
1082479,16061
C146799,13698
C146799,3261
C146799,14431
C146799,5659
C146799,22774
C146819,22800
C146819,7986
C146819,7031
C146819,20591
C146889,29956
C146931,25775
C146931,24590
C146931,6925
C146931,29865
C146931,1105
C146931,14318
C146931,24226
C146931,18447
C146931,28044
C146946,3548
C146946,6912
C146994,24955
C147036,24696
C147037,29938
C147040,6960
C147040,11653
C147074,29625
C147074,2675
C147074,24157
C147142,29167
C147142,14406
C147142,1674
C147142,25837
C147142,30434
C147177,5383
C147210,5594
C147261,199
C147330,12
C147330,10537
C147330,24707
C147330,6058
C147330,2225
C147330,25776
C147331,9731
C147331,11645
C147331,26438
C147331,26368
C147331,7477
C147332,4297
C147332,25767
C147426,21442
C147433,29088
C147471,8651
C147529,20092
C147539,17295
C147556,17536
C147572,22697
C147572,23375
C147572,17342
C147572,4646
C147572,3474
C147599,16425
C147603,28787
C147604,12658
C147628,32455
C147635,22874
C147636,14594
C147636,7062
C147636,4587
C147660,6047
C147704,14823
C147704,6534
C147704,27865
C147748,16196
C147748,11036
C147769,4317
C147769,25117
C147769,7181
C147769,7877
C147769,23642
C147769,13045
C147769,24838
C147769,9940
C147769,26559
C147780,24580
C147801,7321
C147813,2950
C147848,10798
C147867,7321
C147867,4016
C147895,26325
C147895,4285
C147895,14541
C147895,2491
C147895,6910
C147895,4385
C147895,17880
C147895,8865
C147910,10732
C147910,21295
C147910,14223
C147910,19921
C147910,22116
C147919,13051
C147919,31258
C147919,1184
C147946,27139
C147985,29167
C147985,14406
C147985,11649
C147985,29165
C148014,3801
C148026,19809
C148079,22495
C148079,6101
C148079,30135
C148079,5641
C148079,15818
C148079,18916
C148079,26955
C148079,12890
C148088,29675
C148088,8505
C148174,28706
C148178,30652
C148260,20854
C148260,15016
C148309,28748
C148310,18220
C148336,19809
C148408,1889
1083102,27176
C148473,10854
C148473,3376
C148525,24084
C148548,10528
C148548,25757
C148548,29253
C148548,10866
C148548,3950
C148548,25330
C148572,22097
C148572,12306
C148628,10184
C148628,8849
C148628,33
C148628,20850
C148636,31467
C148636,6912
C148643,6480
C148643,21152
C148643,16134
C148643,17184
C148643,7507
C148643,1211
C148643,7854
C148643,15694
C148643,5754
C148643,27574
C148643,1933
C148643,11543
C148643,2622
C148643,30924
C148643,30814
C148643,26198
C148643,27141
C148643,24148
C148643,31593
C148643,11736
C148643,7636
C148643,20239
C148643,26605
C148643,19156
C148643,8182
C148643,26871
C148644,2145
C148644,3345
C148701,12108
C148701,11636
C148724,4468
C148724,3059
C148724,12726
C148724,18434
C148724,27518
C148745,7395
C148765,26390
C148797,8164
C148798,15999
C148879,30745
C148892,25978
C148892,1010
C148892,6546
C148892,14722
C148892,19205
C148892,30320
C148952,10032
C148952,9215
1083102,26865
C148952,26669
C148957,22643
C148990,1211
C149040,23359
C149040,22328
C149040,19359
C149040,25478
C149040,24528
C149040,17409
C149040,25479
C149040,31697
C149040,30399
C149045,2685
C149045,22893
C149045,5611
C149066,199
C149084,15429
C149097,15261
C149097,28075
C149172,30687
C149172,27903
C149190,30961
C149209,21614
C149209,3203
C149209,13213
C149209,14139
C149209,7849
C149209,1912
C149209,6506
C149209,30323
C149209,29071
C149209,20310
C149209,16761
C149209,29410
C149209,2198
C149209,4778
C149209,12144
C149209,28053
C149209,14285
C149209,31765
C149209,20781
C149209,12893
C149209,27868
C149209,9244
C149209,24407
C149209,23820
C149209,2121
C149233,6089
C149269,11154
C149270,30924
C149270,17848
C149270,5586
C149310,3345
C149310,7980
C149317,18050
C149326,28068
C149326,5500
C149326,21918
C149326,6440
C149341,28649
C149360,17330
C149368,21864
C149404,17050
C149404,13301
C149407,30886
C149453,30275
C149453,31318
C149462,10331
C149463,20258
C149525,18473
C149553,2505
C149553,11297
C149554,14337
C149554,1338
C149554,10764
C149612,17437
C149638,27131
C149660,25046
C149687,7750
C149687,1546
C149687,24954
1081744,13876
C149687,14950
C149692,26928
C149692,20091
C149721,23241
C149728,23030
C149744,29735
C149744,28527
C149744,15655
C149748,22871
C149748,21658
C149749,18020
C149749,21920
C149749,10205
C149749,5044
C149749,10447
C149749,25022
C149749,20879
C149750,7477
C149767,13051
C149767,31258
C149773,13524
C149773,31606
C149774,4158
